SiteID,Date-Time,ac_frequency,ac_power,ac_power_metered,power_factor
1200,2020-01-01 00:00:00,60,20,20,0.029
1200,2020-01-01 00:05:00,60,20,20,0.029
1200,2020-01-01 00:10:00,60,20,20,0.029
1200,2020-01-01 00:15:00,60,20,20,0.029
1200,2020-01-01 00:20:00,60,20,20,0.029
1200,2020-01-01 00:25:00,60,20,20,0.029
1200,2020-01-01 00:30:00,60,20,20,0.029
1200,2020-01-01 00:35:00,60,20,20,0.029
1200,2020-01-01 00:40:00,60,20,20,0.029
1200,2020-01-01 00:45:00,60,20,20,0.029
1200,2020-01-01 00:50:00,60,20,20,0.029
1200,2020-01-01 00:55:00,60,20,20,0.029
1200,2020-01-01 01:00:00,60,20,20,0.029
1200,2020-01-01 01:05:00,60,20,20,0.029
1200,2020-01-01 01:10:00,60,20,20,0.029
1200,2020-01-01 01:15:00,60,20,20,0.029
1200,2020-01-01 01:20:00,60,20,20,0.029
1200,2020-01-01 01:25:00,60,20,20,0.029
1200,2020-01-01 01:30:00,60,20,20,0.029
1200,2020-01-01 01:35:00,60,20,20,0.029
1200,2020-01-01 01:40:00,60,20,20,0.029
1200,2020-01-01 01:45:00,60,20,20,0.029
1200,2020-01-01 01:50:00,60,20,20,0.029
1200,2020-01-01 01:55:00,60,20,20,0.029
1200,2020-01-01 02:00:00,60,20,20,0.029
1200,2020-01-01 02:05:00,60,20,20,0.029
1200,2020-01-01 02:10:00,60,20,20,0.029
1200,2020-01-01 02:15:00,60,20,20,0.029
1200,2020-01-01 02:20:00,60,20,20,0.029
1200,2020-01-01 02:25:00,60,20,20,0.029
1200,2020-01-01 02:30:00,60,20,20,0.029
1200,2020-01-01 02:35:00,60,20,20,0.029
1200,2020-01-01 02:40:00,60,20,20,0.029
1200,2020-01-01 02:45:00,60,20,20,0.029
1200,2020-01-01 02:50:00,60,20,20,0.029
1200,2020-01-01 02:55:00,60,20,20,0.029
1200,2020-01-01 03:00:00,60,20,20,0.029
1200,2020-01-01 03:05:00,60,20,20,0.029
1200,2020-01-01 03:10:00,60,20,20,0.029
1200,2020-01-01 03:15:00,60,20,20,0.029
1200,2020-01-01 03:20:00,60,20,20,0.029
1200,2020-01-01 03:25:00,60,20,20,0.029
1200,2020-01-01 03:30:00,60,20,20,0.029
1200,2020-01-01 03:35:00,60,20,20,0.029
1200,2020-01-01 03:40:00,60,20,20,0.029
1200,2020-01-01 03:45:00,60,20,20,0.029
1200,2020-01-01 03:50:00,60,20,20,0.029
1200,2020-01-01 03:55:00,60,20,20,0.029
1200,2020-01-01 04:00:00,60,20,20,0.029
1200,2020-01-01 04:05:00,60,20,20,0.029
1200,2020-01-01 04:10:00,60,20,20,0.029
1200,2020-01-01 04:15:00,60,20,20,0.029
1200,2020-01-01 04:20:00,60,20,20,0.029
1200,2020-01-01 04:25:00,60,20,20,0.029
1200,2020-01-01 04:30:00,60,20,20,0.029
1200,2020-01-01 04:35:00,60,20,20,0.029
1200,2020-01-01 04:40:00,60,20,20,0.029
1200,2020-01-01 04:45:00,60,20,20,0.029
1200,2020-01-01 04:50:00,60,20,20,0.029
1200,2020-01-01 04:55:00,60,20,20,0.029
1200,2020-01-01 05:00:00,60,20,20,0.029
1200,2020-01-01 05:05:00,60,20,20,0.029
1200,2020-01-01 05:10:00,60,20,20,0.029
1200,2020-01-01 05:15:00,60,20,20,0.029
1200,2020-01-01 05:20:00,60,20,20,0.029
1200,2020-01-01 05:25:00,60,20,20,0.029
1200,2020-01-01 05:30:00,60,20,20,0.029
1200,2020-01-01 05:35:00,60,20,20,0.029
1200,2020-01-01 05:40:00,60,20,20,0.029
1200,2020-01-01 05:45:00,60,20,20,0.029
1200,2020-01-01 05:50:00,60,20,20,0.029
1200,2020-01-01 05:55:00,60,20,20,0.029
1200,2020-01-01 06:00:00,60,20,20,0.029
1200,2020-01-01 06:05:00,60,20,20,0.029
1200,2020-01-01 06:10:00,60,20,20,0.029
1200,2020-01-01 06:15:00,60,20,20,0.029
1200,2020-01-01 06:20:00,60,20,20,0.029
1200,2020-01-01 06:25:00,60,20,20,0.029
1200,2020-01-01 06:30:00,60,20,20,0.029
1200,2020-01-01 06:35:00,60,20,20,0.029
1200,2020-01-01 06:40:00,60,20,20,0.029
1200,2020-01-01 06:45:00,60,20,20,0.029
1200,2020-01-01 06:50:00,60,20,20,0.029
1200,2020-01-01 06:55:00,60,20,20,0.029
1200,2020-01-01 07:00:00,60,20,20,0.029
1200,2020-01-01 07:05:00,60,20,20,0.029
1200,2020-01-01 07:10:00,60,20,20,0.029
1200,2020-01-01 07:15:00,60,20,20,0.029
1200,2020-01-01 07:20:00,60,20,20,0.029
1200,2020-01-01 07:25:00,60,20,20,0.029
1200,2020-01-01 07:30:00,60,40,40,0.043
1200,2020-01-01 07:35:00,60,100,100,0.056
1200,2020-01-01 07:40:00,60,160,160,0.099
1200,2020-01-01 07:45:00,60,200,200,0.104
1200,2020-01-01 07:50:00,60,320,320,0.151
1200,2020-01-01 07:55:00,60,860,860,0.434
1200,2020-01-01 08:00:00,60,900,900,0.479
1200,2020-01-01 08:05:00,60,1000,1000,0.51
1200,2020-01-01 08:10:00,60,2980,2980,0.861
1200,2020-01-01 08:15:00,60,3680,3680,0.906
1200,2020-01-01 08:20:00,60,4360,4360,0.928
1200,2020-01-01 08:25:00,60,5340,5340,0.96
1200,2020-01-01 08:30:00,60,6360,6360,0.978
1200,2020-01-01 08:35:00,60,2580,2580,0.832
1200,2020-01-01 08:40:00,60,9280,9280,-0.985
1200,2020-01-01 08:45:00,60,6580,6580,0.973
1200,2020-01-01 08:50:00,60,9600,9600,-0.99
1200,2020-01-01 08:55:00,60,13360,13360,-0.99
1200,2020-01-01 09:00:00,60,10180,10180,-0.983
1200,2020-01-01 09:05:00,60,16860,16860,-0.99
1200,2020-01-01 09:10:00,60,18700,18700,-0.99
1200,2020-01-01 09:15:00,60,19560,19560,-0.992
1200,2020-01-01 09:20:00,60,20860,20860,-0.991
1200,2020-01-01 09:25:00,60,21260,21260,-0.992
1200,2020-01-01 09:30:00,60,9860,9860,-0.984
1200,2020-01-01 09:35:00,60,7340,7340,0.979
1200,2020-01-01 09:40:00,60,24220,24220,-0.993
1200,2020-01-01 09:45:00,60,23180,23180,-0.992
1200,2020-01-01 09:50:00,60,24440,24440,-0.992
1200,2020-01-01 09:55:00,60,25920,25920,-0.991
1200,2020-01-01 10:00:00,60,26940,26940,-0.993
1200,2020-01-01 10:05:00,60,26180,26180,-0.991
1200,2020-01-01 10:10:00,60,25760,25760,-0.991
1200,2020-01-01 10:15:00,60,24960,24960,-0.992
1200,2020-01-01 10:20:00,60,26020,26020,-0.991
1200,2020-01-01 10:25:00,60,26160,26160,-0.992
1200,2020-01-01 10:30:00,60,26940,26940,-0.993
1200,2020-01-01 10:35:00,60,27520,27520,-0.991
1200,2020-01-01 10:40:00,60,28060,28060,-0.992
1200,2020-01-01 10:45:00,60,9280,9280,-0.973
1200,2020-01-01 10:50:00,60,32300,32300,-0.991
1200,2020-01-01 10:55:00,60,14140,14140,-1
1200,2020-01-01 11:00:00,60,30860,30860,-0.992
1200,2020-01-01 11:05:00,60,29760,29760,-0.992
1200,2020-01-01 11:10:00,60,29900,29900,-0.991
1200,2020-01-01 11:15:00,60,30280,30280,-0.991
1200,2020-01-01 11:20:00,60,30640,30640,-0.991
1200,2020-01-01 11:25:00,60,30920,30920,-0.991
1200,2020-01-01 11:30:24,60,30840,30840,-0.992
1200,2020-01-01 11:35:00,60,31040,31040,-0.992
1200,2020-01-01 11:40:00,60,31320,31320,-0.991
1200,2020-01-01 11:45:00,60,31500,31500,-0.992
1200,2020-01-01 11:50:00,60,31780,31780,-0.991
1200,2020-01-01 11:55:00,60,31880,31880,-0.991
1200,2020-01-01 12:00:00,60,32040,32040,-0.991
1200,2020-01-01 12:05:00,60,32240,32240,-0.992
1200,2020-01-01 12:10:00,60,32260,32260,-0.992
1200,2020-01-01 12:15:00,60,32440,32440,-0.992
1200,2020-01-01 12:20:00,60,33080,33080,-0.992
1200,2020-01-01 12:25:00,60,32760,32760,-0.992
1200,2020-01-01 12:30:00,60,33420,33420,-0.992
1200,2020-01-01 12:35:00,60,33120,33120,-0.992
1200,2020-01-01 12:40:00,60,31660,31660,-0.992
1200,2020-01-01 12:45:00,60,33720,33720,-0.992
1200,2020-01-01 12:50:00,60,33640,33640,-0.992
1200,2020-01-01 12:55:00,60,34740,34740,-0.991
1200,2020-01-01 13:00:00,60,32280,32280,-0.992
1200,2020-01-01 13:05:00,60,31780,31780,-0.991
1200,2020-01-01 13:10:00,60,31940,31940,-0.991
1200,2020-01-01 13:15:00,60,31420,31420,-0.992
1200,2020-01-01 13:20:00,60,31500,31500,-0.992
1200,2020-01-01 13:25:00,60,31180,31180,-0.991
1200,2020-01-01 13:30:00,60,30800,30800,-0.992
1200,2020-01-01 13:35:00,60,30640,30640,-0.991
1200,2020-01-01 13:40:00,60,30400,30400,-0.991
1200,2020-01-01 13:45:00,60,30320,30320,-0.991
1200,2020-01-01 13:50:00,60,29440,29440,-0.991
1200,2020-01-01 13:55:00,60,29200,29200,-0.992
1200,2020-01-01 14:00:00,60,29020,29020,-0.992
1200,2020-01-01 14:05:00,60,28300,28300,-0.991
1200,2020-01-01 14:10:00,60,27580,27580,-0.991
1200,2020-01-01 14:15:00,60,27020,27020,-0.992
1200,2020-01-01 14:20:00,60,25800,25800,-0.991
1200,2020-01-01 14:25:00,60,24700,24700,-0.991
1200,2020-01-01 14:30:00,60,23260,23260,-0.991
1200,2020-01-01 14:35:00,60,21880,21880,-0.992
1200,2020-01-01 14:40:00,60,20140,20140,-0.99
1200,2020-01-01 14:45:00,60,18380,18380,-0.991
1200,2020-01-01 14:50:00,60,16600,16600,-0.989
1200,2020-01-01 14:55:00,60,14840,14840,-0.989
1200,2020-01-01 15:00:00,60,13200,13200,-0.992
1200,2020-01-01 15:05:00,60,11400,11400,-0.988
1200,2020-01-01 15:10:00,60,9680,9680,-0.986
1200,2020-01-01 15:15:00,60,8120,8120,-0.985
1200,2020-01-01 15:20:00,60,6820,6820,0.98
1200,2020-01-01 15:25:00,60,6220,6220,0.975
1200,2020-01-01 15:30:00,60,5920,5920,0.97
1200,2020-01-01 15:35:00,60,5540,5540,0.965
1200,2020-01-01 15:40:00,60,5220,5220,0.963
1200,2020-01-01 15:45:00,60,4860,4860,0.957
1200,2020-01-01 15:50:00,60,4500,4500,0.949
1200,2020-01-01 15:55:00,60,4120,4120,0.936
1200,2020-01-01 16:00:00,60,3760,3760,0.926
1200,2020-01-01 16:05:00,60,3360,3360,0.903
1200,2020-01-01 16:10:00,60,3000,3000,0.877
1200,2020-01-01 16:15:00,60,2700,2700,0.86
1200,2020-01-01 16:20:00,60,2260,2260,0.813
1200,2020-01-01 16:25:00,60,1900,1900,0.766
1200,2020-01-01 16:30:00,60,1640,1640,0.719
1200,2020-01-01 16:35:00,60,1260,1260,0.612
1200,2020-01-01 16:40:00,60,940,940,0.495
1200,2020-01-01 16:45:00,60,640,640,0.368
1200,2020-01-01 16:50:00,60,240,240,0.148
1200,2020-01-01 16:55:00,60,80,80,0.057
1200,2020-01-01 17:00:00,60,20,20,0.029
1200,2020-01-01 17:05:00,60,20,20,0.029
1200,2020-01-01 17:10:00,60,20,20,0.029
1200,2020-01-01 17:15:00,60,20,20,0.029
1200,2020-01-01 17:20:00,60,20,20,0.029
